Geneid,clip_enrichment,rden_change
ENSMUSG00000033845.14,0.17667763169656384,-0.4031515850446463
ENSMUSG00000033813.16,-0.26848902942239106,-0.21579407247189009
ENSMUSG00000033793.13,-0.16117028093398644,-0.5789161263294428
ENSMUSG00000025907.15,1.0505024579611606,0.06664132549871749
ENSMUSG00000051285.18,1.3392389869058874,0.794947861581556
ENSMUSG00000061024.9,-0.393525692061038,-0.6209837889928284
ENSMUSG00000045210.9,0.2678238897501876,-0.2799582025436447
ENSMUSG00000098234.8,1.0059229474973372,-0.08735289519515455
ENSMUSG00000025917.10,-1.1011694360375177,-0.6137294661411938
ENSMUSG00000056763.17,0.9986103075472013,-0.1754583380998489
ENSMUSG00000067851.12,1.344952062913364,0.47787899312606186
ENSMUSG00000016918.16,0.6407602967284545,0.5455416268528626
ENSMUSG00000042414.8,-0.8581423950255275,-0.38884792712059446
ENSMUSG00000005886.15,-0.9799243149216524,-0.6129536593793987
ENSMUSG00000025935.11,0.9295661499545526,0.7516622481858612
ENSMUSG00000025937.7,0.29162287752736615,-0.3584376209584099
ENSMUSG00000025925.15,0.6444066748861174,0.2521191392818052
ENSMUSG00000043716.14,-1.8531844224718836,-0.5303242128011108
ENSMUSG00000025939.20,0.23611503002284873,-0.25325817076247703
ENSMUSG00000079658.10,-0.8266407942533036,0.40853197936332497
ENSMUSG00000025940.7,0.9570285371974458,0.9651443926219321
ENSMUSG00000041859.11,-2.1881186185158756,-1.07097059736107
ENSMUSG00000025931.16,1.12196084484248,0.6874269473020324
ENSMUSG00000041779.6,0.37375492080732803,0.6215232346994666
ENSMUSG00000026155.14,-0.2056455622873916,-0.47616156983466806
ENSMUSG00000026154.5,-0.41545545184473,0.29499721720941385
ENSMUSG00000026153.16,-0.5827152113672139,0.2035020955247595
ENSMUSG00000067736.3,-3.3864223564096663,0.8030328107265149
ENSMUSG00000101111.2,-4.851911767307687,0.4213107168270979
ENSMUSG00000100862.2,-4.860362744693878,0.7776664055394195
ENSMUSG00000102070.2,-5.776388815582129,0.6740005268661461
ENSMUSG00000073725.9,1.071930844824607,1.069044007387646
ENSMUSG00000048874.16,0.24665834761840918,-0.1578218695205651
ENSMUSG00000026134.12,0.03877316537905501,-0.43514427925370125
ENSMUSG00000004768.15,-0.8396807812510878,-0.32378569170018867
ENSMUSG00000042197.14,-0.047922771793499144,-0.24459891016181068
ENSMUSG00000026131.21,1.796771488891187,0.49868701385169967
ENSMUSG00000042111.10,-0.3558544180869048,0.17173825813129084
ENSMUSG00000026127.14,-1.1203653951759214,-0.5180724762405347
ENSMUSG00000037503.13,-0.10532864049163242,0.043592395132245
ENSMUSG00000026123.12,-0.7081459028165726,-0.2525895564128138
ENSMUSG00000045216.8,0.019138287051826883,0.409150458429415
ENSMUSG00000037470.15,1.242818856723058,0.5652448585827469
ENSMUSG00000010453.13,-0.8902849073644951,0.056134392473122796
ENSMUSG00000001143.14,0.13599867824276785,0.6353947755887905
ENSMUSG00000037408.11,2.436478353866088,0.19253666675015685
ENSMUSG00000001138.14,-0.21760293742005335,0.3115096663652644
ENSMUSG00000046337.18,-1.6718411018401855,-0.6270750007278215
ENSMUSG00000061518.12,-2.0152217242616706,-0.01916107947523016
ENSMUSG00000037351.10,-1.601116499678204,-0.04427033876178199
ENSMUSG00000026116.12,1.2793154285724126,0.49689803476732186
ENSMUSG00000026112.8,-0.861713145161961,-0.03749474054784274
ENSMUSG00000026111.16,0.6877605780355066,0.5587600299549744
ENSMUSG00000026110.16,1.378114191352104,0.490567936635913
ENSMUSG00000026088.16,-1.53208913829724,-0.13326651787200028
ENSMUSG00000026087.12,-2.1391917898969575,-0.39305432234551424
ENSMUSG00000058407.13,-0.9210067524634634,-0.6388412001668943
ENSMUSG00000026083.13,0.7156277346608836,-0.672760237315793
ENSMUSG00000026082.12,-0.42213134265711727,0.1278337839190553
